Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
2512,0.0864874,0.00415415,0.79808,-0.246454,-0.00609896,0.815768,0.0877557,0.00560021,0.797524,-0.244637,-0.00492166,0.812701
2556,0.0852268,0.00445902,0.796892,-0.244538,-0.0064045,0.815981,0.087809,0.00553105,0.797458,-0.244699,-0.00493886,0.812738
2612,0.0860761,0.00303514,0.799975,-0.244972,-0.00499084,0.814282,0.087809,0.00546661,0.797381,-0.244778,-0.00494027,0.81276
2676,0.0859066,0.00522428,0.797802,-0.243903,-0.00652251,0.813904,0.0877212,0.00525334,0.797545,-0.244899,-0.00491824,0.812753
2719,0.0866521,0.00557405,0.798358,-0.243872,-0.00683543,0.815041,0.087622,0.00508142,0.797678,-0.245012,-0.00494348,0.8128
2762,0.0859951,0.00257934,0.800817,-0.244495,-0.00667002,0.813894,0.0875034,0.00490672,0.797812,-0.245113,-0.00500344,0.812906
2804,0.0844779,0.00304216,0.801089,-0.246811,-0.00404885,0.806721,0.0873554,0.00467162,0.798017,-0.245248,-0.00505988,0.812927
2848,0.0866838,0.004958,0.796658,-0.244279,-0.00493119,0.808479,0.0871702,0.00453119,0.798113,-0.245347,-0.00516264,0.812931
2891,0.0889583,0.00504942,0.799035,-0.241091,-0.00842223,0.817313,0.0870017,0.00440415,0.798271,-0.245342,-0.0052783,0.813
2933,0.085564,0.00455908,0.798423,-0.242994,-0.00767362,0.814042,0.0867921,0.00430203,0.798409,-0.245276,-0.00541886,0.813109
2975,0.0844425,0.00433276,0.79496,-0.24398,-0.00589942,0.810601,0.0865926,0.00423198,0.798482,-0.245162,-0.00554209,0.813132
3017,0.0861619,0.00505433,0.798654,-0.246505,-0.00453392,0.810969,0.0864413,0.00417514,0.798584,-0.245053,-0.00563992,0.813071
3059,0.0858941,0.006829,0.795437,-0.242805,-0.0062096,0.812387,0.0863172,0.00417927,0.79863,-0.244911,-0.00575646,0.812993
3101,0.0864894,0.00598683,0.793831,-0.242637,-0.00623748,0.814457,0.0862496,0.00425918,0.798526,-0.244743,-0.00587005,0.812922
3145,0.0858628,0.00748311,0.794182,-0.242488,-0.00542153,0.812389,0.0861851,0.00433637,0.798402,-0.244571,-0.0059438,0.812811
3187,0.0868852,0.00588089,0.796189,-0.243812,-0.00550991,0.814636,0.0861472,0.00445672,0.798229,-0.244409,-0.00598353,0.812665
3233,0.0854597,0.0038997,0.798386,-0.24234,-0.00714719,0.815048,0.0861426,0.00462733,0.797978,-0.244174,-0.00605421,0.812676
3286,0.0859935,0.00524353,0.798213,-0.246761,-0.00486673,0.808802,0.0861463,0.00476842,0.79778,-0.243981,-0.00610862,0.812735
3332,0.0874289,0.0107178,0.787803,-0.241164,-0.00682304,0.814346,0.0861123,0.00495412,0.797461,-0.243868,-0.00611899,0.812701
3375,0.0865038,0.00626012,0.794006,-0.243821,-0.00593789,0.812952,0.0861032,0.00514466,0.797106,-0.243797,-0.00607888,0.812612
3419,0.0856677,0.00370624,0.796956,-0.243225,-0.00617985,0.813591,0.0861269,0.00532714,0.796803,-0.243743,-0.00604356,0.812605
3460,0.0853925,0.00320974,0.800495,-0.245335,-0.00708266,0.81675,0.0861335,0.00548522,0.7965,-0.243658,-0.00605244,0.812707
3505,0.0854888,0.00598374,0.794603,-0.242268,-0.00564008,0.812331,0.0861378,0.00559692,0.796234,-0.243589,-0.00604344,0.812826
3549,0.086771,0.00200385,0.798596,-0.242713,-0.00576572,0.813273,0.0861392,0.00566115,0.796056,-0.243534,-0.00603256,0.812928
3590,0.0864712,0.00466301,0.797569,-0.243595,-0.00593029,0.815616,0.0861545,0.0056781,0.795953,-0.243503,-0.00604092,0.813089
3631,0.0872203,0.0103059,0.786109,-0.241036,-0.00755446,0.814615,0.0861643,0.00570628,0.795796,-0.243452,-0.00608132,0.813242
3675,0.0863299,0.00529509,0.796804,-0.243836,-0.00693826,0.811884,0.0861729,0.00573984,0.79565,-0.24346,-0.00608865,0.813281
3716,0.0862736,0.00405453,0.796321,-0.243479,-0.00481392,0.81013,0.0861913,0.00575865,0.79547,-0.24341,-0.0060961,0.813329
3759,0.0853362,0.00373848,0.796715,-0.24483,-0.00499818,0.812449,0.086204,0.00565099,0.795491,-0.243397,-0.00610128,0.813388
3800,0.0863105,0.00557643,0.795218,-0.241847,-0.00480899,0.813886,0.0862054,0.00551948,0.795568,-0.243355,-0.00611254,0.813468
3842,0.0858779,0.00265486,0.800178,-0.244305,-0.00727252,0.817334,0.0861967,0.00538372,0.795657,-0.243332,-0.00613192,0.813555
3886,0.0864683,0.00451977,0.798627,-0.243156,-0.0034041,0.810116,0.0862064,0.00527951,0.79571,-0.243299,-0.00608903,0.813517
3945,0.0861804,0.00557448,0.79407,-0.242493,-0.00502005,0.813332,0.086227,0.00517966,0.795765,-0.243273,-0.00604563,0.813491
3988,0.0863813,0.00213872,0.802516,-0.24381,-0.00679132,0.815491,0.086241,0.00512098,0.795812,-0.243258,-0.0060172,0.813498
4032,0.0870489,0.00667718,0.791097,-0.242706,-0.00773453,0.813453,0.0862546,0.00511065,0.795761,-0.243223,-0.00600173,0.813452
4074,0.0863093,0.00316109,0.797075,-0.242254,-0.00591549,0.813839,0.0862558,0.00498462,0.795919,-0.243227,-0.00594943,0.813398
4118,0.0861781,0.00320345,0.802012,-0.243249,-0.00619838,0.815546,0.0862468,0.00482372,0.796146,-0.243211,-0.00589181,0.813412
4180,0.0860213,0.00171282,0.802309,-0.24333,-0.00722679,0.817247,0.0862325,0.00465129,0.796452,-0.243226,-0.00585885,0.813484
4223,0.0857189,0.00491135,0.795584,-0.242939,-0.00627779,0.813619,0.0862429,0.00456039,0.796657,-0.243185,-0.00585694,0.813587
4266,0.0866573,0.00500243,0.7959,-0.243655,-0.00606618,0.813525,0.0862587,0.00447058,0.796857,-0.243183,-0.00587889,0.813676
4319,0.0857232,0.00515166,0.7972,-0.243705,-0.00513766,0.813768,0.0862708,0.00441625,0.796994,-0.243163,-0.00586856,0.813693
4361,0.0863522,0.00555663,0.792588,-0.243152,-0.00557543,0.809488,0.086271,0.00435919,0.797091,-0.243166,-0.00591673,0.81377
4408,0.0867237,0.00511069,0.796392,-0.243615,-0.00386358,0.808573,0.0862698,0.00430159,0.797215,-0.243177,-0.00595954,0.813789
4450,0.0847024,0.00605421,0.793971,-0.242201,-0.00655123,0.811831,0.0862556,0.00428179,0.797215,-0.243161,-0.00598969,0.813749
4493,0.0865056,0.00431544,0.798604,-0.24319,-0.00528843,0.814378,0.0862303,0.00421823,0.797355,-0.243159,-0.00597733,0.81374
4535,0.0863954,0.00390007,0.798183,-0.243901,-0.00456244,0.814192,0.0862149,0.00423351,0.797396,-0.243161,-0.00596784,0.813743
4579,0.0861416,0.00419723,0.797049,-0.242078,-0.00697214,0.814895,0.0862007,0.00427965,0.797336,-0.243158,-0.00597348,0.813702
4622,0.0865317,0.00496425,0.795305,-0.242795,-0.00738878,0.815176,0.0861941,0.00438172,0.797145,-0.24315,-0.00595661,0.81357
4685,0.0860876,0.00323851,0.799514,-0.244996,-0.00521929,0.814281,0.0861873,0.00445533,0.797006,-0.243182,-0.00591637,0.813432
4738,0.0866201,0.00289053,0.799561,-0.243746,-0.00561783,0.816728,0.0861767,0.00451356,0.796896,-0.243197,-0.00585906,0.81333
4780,0.0858091,0.00449373,0.799662,-0.245572,-0.00576166,0.813052,0.0861686,0.00454024,0.79684,-0.243236,-0.00582935,0.813257
4824,0.0855716,0.00659981,0.796546,-0.24249,-0.00553648,0.81264,0.0861537,0.00456699,0.796884,-0.243269,-0.00577753,0.813221
4869,0.0861219,0.00701324,0.796096,-0.241357,-0.00744461,0.814482,0.0861275,0.0046174,0.796902,-0.243269,-0.00577309,0.813292
4911,0.0849654,0.00565459,0.797029,-0.24305,-0.0062288,0.8124,0.0861206,0.00462466,0.797037,-0.243292,-0.00576782,0.813406
4952,0.0859954,0.00531614,0.797171,-0.244256,-0.00759598,0.814839,0.0861141,0.00466554,0.797081,-0.243322,-0.00581009,0.813515
5001,0.0863632,0.00473829,0.796503,-0.239969,-0.00508764,0.812154,0.0861064,0.00470742,0.797098,-0.243295,-0.00587115,0.813599
5044,0.0862527,0.00288868,0.800245,-0.245369,-0.00416809,0.812038,0.0861002,0.00472627,0.797197,-0.243314,-0.00589642,0.813662
5085,0.0875536,0.00763379,0.791121,-0.240909,-0.00660136,0.813593,0.0860991,0.0047393,0.797324,-0.243319,-0.0059122,0.81373
5128,0.0856133,0.00575189,0.795585,-0.244739,-0.00493486,0.812818,0.0860895,0.0047942,0.797372,-0.2433,-0.00593572,0.813776
5188,0.0857488,0.00432648,0.798343,-0.242436,-0.00714391,0.816936,0.0860716,0.00488457,0.797371,-0.243268,-0.00597899,0.813793
5231,0.087217,0.00347637,0.798193,-0.241788,-0.00464174,0.81234,0.086067,0.00497135,0.797331,-0.243179,-0.00600481,0.813809
5274,0.0852842,0.00427102,0.798121,-0.24161,-0.0041185,0.81205,0.0860672,0.00502441,0.797267,-0.243088,-0.00601685,0.813788
5317,0.0861249,0.00318394,0.79917,-0.243098,-0.00685227,0.812347,0.0860736,0.00502015,0.797237,-0.243037,-0.00598715,0.813687
5359,0.0854196,0.00865555,0.792549,-0.241674,-0.00691525,0.814004,0.0860818,0.0050499,0.797132,-0.242964,-0.00596754,0.813596
5400,0.0867563,0.00290658,0.80105,-0.243763,-0.00725061,0.819385,0.0861027,0.00504554,0.797079,-0.242875,-0.00592141,0.813545
5442,0.0855922,0.00692048,0.791196,-0.242836,-0.00573173,0.812838,0.0861163,0.00505463,0.796991,-0.242854,-0.00587646,0.813522
5483,0.0852495,0.00552579,0.796743,-0.244837,-0.00631043,0.814574,0.0861187,0.00510317,0.796835,-0.242795,-0.00588097,0.813553
5524,0.0866494,0.00649452,0.79458,-0.24334,-0.00588631,0.811142,0.0861018,0.00511362,0.796756,-0.242779,-0.00588621,0.813575
5567,0.085052,0.00416809,0.799059,-0.244718,-0.00550386,0.812748,0.0860841,0.0050831,0.796751,-0.242765,-0.00589998,0.813612
5619,0.0848836,0.00563825,0.795356,-0.242526,-0.00659682,0.811653,0.0860664,0.00505134,0.796728,-0.242766,-0.00589303,0.813593
5663,0.0873551,0.00672466,0.794224,-0.242174,-0.00659991,0.815503,0.0860361,0.00506224,0.79668,-0.242808,-0.00591685,0.813613
5726,0.0863603,0.00500608,0.797073,-0.242662,-0.00621203,0.814415,0.0860193,0.00510377,0.796606,-0.242869,-0.00597579,0.813663
5771,0.0859942,0.00652363,0.794241,-0.243341,-0.00568474,0.813216,0.0860013,0.005217,0.796452,-0.242916,-0.00602897,0.813742
5814,0.0857396,0.00770652,0.795158,-0.24309,-0.00592855,0.816041,0.0859819,0.00529072,0.796369,-0.24299,-0.00606543,0.813826
5856,0.0851947,0.00367096,0.80065,-0.244193,-0.00507216,0.812106,0.0859392,0.00539619,0.796243,-0.243074,-0.00608355,0.813792
5900,0.0870455,0.0042815,0.800263,-0.244534,-0.00553665,0.811971,0.0859189,0.00545344,0.796261,-0.243146,-0.00609328,0.813742
5942,0.0853408,0.00695069,0.790911,-0.243518,-0.00634489,0.812979,0.0859094,0.00549857,0.796255,-0.24321,-0.00608193,0.813651
5986,0.0858517,0.00407259,0.798469,-0.244387,-0.00706062,0.814323,0.085901,0.00553087,0.796254,-0.24326,-0.00608948,0.813616
6032,0.0854595,0.00461,0.799127,-0.243856,-0.00455388,0.811059,0.0859023,0.00558343,0.796218,-0.243302,-0.00608184,0.813565
6073,0.0854928,0.00603977,0.797677,-0.242825,-0.00454789,0.813884,0.0859184,0.00562689,0.796236,-0.243346,-0.00605917,0.813589
6115,0.0858957,0.00361807,0.80079,-0.245233,-0.00556273,0.813871,0.0859185,0.0056068,0.796359,-0.243417,-0.00600656,0.813565
