Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
2025,0.107379,-0.000616278,0.471618,-0.0663488,0.0417462,0.480261,0.0798571,0.0389369,0.469786,-0.0953994,0.0453256,0.422645
2064,0.103983,-0.00668188,0.47079,-0.0688485,0.0389095,0.483343,0.0803677,0.0375955,0.468972,-0.0949462,0.0460038,0.42474
2102,0.100233,-0.0122024,0.476181,-0.0716446,0.0385305,0.490938,0.0810844,0.0358063,0.46826,-0.0941857,0.046576,0.427552
2156,0.092225,-0.0135961,0.475401,-0.0764108,0.0390924,0.492897,0.0820951,0.0333408,0.467752,-0.09311,0.046842,0.431165
2207,0.0781653,-0.0241721,0.475145,-0.0909513,0.0338026,0.494575,0.0832634,0.0300233,0.467486,-0.0917983,0.0466693,0.435619
2246,0.0724529,-0.0310292,0.474025,-0.0963444,0.0260239,0.494347,0.0845046,0.0258848,0.46747,-0.0903427,0.0460697,0.440884
2286,0.0638129,-0.0410646,0.468033,-0.105236,0.0172188,0.49304,0.0856873,0.0210065,0.46766,-0.0888551,0.045055,0.446761
2325,0.0582944,-0.0425386,0.466902,-0.108364,0.0187459,0.492945,0.0867127,0.0154734,0.468037,-0.0874043,0.0436806,0.453152
2366,0.0537948,-0.0456169,0.466717,-0.110144,0.0206394,0.492893,0.0872092,0.00953185,0.468549,-0.0863331,0.0421149,0.4597
2406,0.0533914,-0.0383513,0.469344,-0.110213,0.0292923,0.498166,0.0869628,0.00346884,0.469073,-0.0858941,0.0403761,0.465952
2446,0.0519911,-0.0424592,0.463006,-0.109928,0.0265106,0.494353,0.0858794,-0.00262057,0.46951,-0.0861784,0.0384952,0.471744
2504,0.0554121,-0.0460506,0.461383,-0.109721,0.0219463,0.497177,0.0840496,-0.00865516,0.469859,-0.0871552,0.0364808,0.477032
2552,0.0493172,-0.0486869,0.458478,-0.113813,0.0206431,0.492416,0.0814827,-0.0145416,0.46995,-0.0888375,0.0343341,0.481594
2593,0.0419173,-0.0568957,0.45536,-0.12088,0.0150941,0.489691,0.0782241,-0.0202814,0.469757,-0.0912099,0.0320723,0.485374
